ID,LabelIdx,AreaName,Experiment,Cellline,Passage,Day,Condition,LRRK2,NucMaskSum,FOXA2MaskSum,NonTH_FOXA2,TH_FOXA2,THMaskSum,FOXA2ByNuc,THByNuc,NucMaskHigh,NonTH_FOXA2byNucPerim,TH_FOXA2byNucPerim,THFragmentation,SkelTH,Nodes,Links,THPercent
PD051,14,BILLWT_p4_d35,DAN2017_3,H3,p4,d35,H,WT,17711899,58465998,54886467,5520651,7081610,3.300944636,0.399822176,1029615,8.21724922,0.8265164,0.475736167,243274,17075,36217,49.05395936
PD052,15,BILLWT_p5_d35,DAN2017_3,H3,p5,d35,H,WT,14538109,39693676,35895190,8479897,10097669,2.730319053,0.694565504,166069,2.773172887,0.6551357,0.48588293,383276,28157,58221,71.05069802
PD053,16,BILLWT_p6_d35,DAN2017_3,H3,p6,d35,H,WT,24686297,69694064,60330124,9204400,11690450,2.823188265,0.473560291,1544049,5.728809194,0.874028559,0.497930619,450199,33202,69282,61.58382477
PD054,1,WT_p6_d70,DAN2017_4,H3,p6,d70,H,WT,286387,23949132,30716571,101581,102136,83.62506678,0.3566363,0,22.14601781,0.073237818,0.640596851,4662,290,694,2.427184466
PD055,2,WT_p6_d70,DAN2017_4,H3,p6,d70,H,WT,2244916,24588098,30746473,144745,146615,10.952792,0.065309793,0,4.987117649,0.023477826,0.632049927,6429,391,922,1.41509434
PD056,3,WT_p6_d70,DAN2017_4,H3,p6,d70,H,WT,21797304,46283221,52968315,5004208,6106788,2.123346126,0.280162538,576168,3.005232744,0.283920864,0.517135849,233028,15875,34693,40.69156293
PD057,4,WT_p5_d70,DAN2017_4,H3,p5,d70,H,WT,25896379,44544676,48941577,4335759,5287296,1.720112144,0.204171247,2164115,4.698399812,0.41623361,0.526323852,213852,14408,31061,52.3853211
PD058,5,WT_p5_d70,DAN2017_4,H3,p5,d70,H,WT,22519398,48173125,52045614,7652462,8974863,2.139183516,0.398539206,719639,2.243413217,0.329857467,0.489254042,355788,26705,56067,44.7147651
PD059,6,WT_p5_d70,DAN2017_4,H3,p5,d70,H,WT,10644084,36058427,35755443,4471148,5184085,3.387649609,0.487039091,78015,3.446247304,0.430946464,0.504368852,203868,14841,31342,53.57798165
PD060,7,WT_p4_d70,DAN2017_4,H3,p4,d70,H,WT,18033934,54705248,49210759,7649703,9207966,3.033461695,0.510591089,549019,3.192221647,0.496223753,0.490662867,379662,28027,59751,62.454324
PD061,8,WT_p4_d70,DAN2017_4,H3,p4,d70,H,WT,9075110,31832859,26885164,7665022,8663193,3.50771054,0.954610247,121063,2.785924293,0.794273414,0.496133239,383815,30116,62375,81.24156545
PD062,9,WT_p4_d70,DAN2017_4,H3,p4,d70,H,WT,21059320,54847393,48672638,3784659,4875085,2.604423742,0.231492992,475430,6.341657257,0.493110939,0.466852783,151338,10035,21684,34.18447108
PD063,10,WT_p6_d35,DAN2017_4,H3,p6,d35,H,WT,9814214,19557759,21421442,2891662,3663615,1.992799321,0.373296833,53030,1.632797072,0.22040987,0.515293501,152326,10581,22695,46.0306644
PD064,11,WT_p6_d35,DAN2017_4,H3,p6,d35,H,WT,18820732,33530361,42725541,4968120,6117588,1.781565191,0.325045168,492937,2.230968617,0.259416722,0.514821855,235002,15816,34438,38.8568684
PD065,12,WT_p5_d35,DAN2017_4,H3,p5,d35,H,WT,20668661,49767731,44322948,8427575,10896014,2.407883655,0.527175611,483008,3.635166121,0.691191279,0.46665331,385016,27490,57277,57.5617284
PD066,13,WT_p5_d35,DAN2017_4,H3,p5,d35,H,WT,11617470,15658849,21168862,1735818,2280410,1.347870836,0.196291447,39840,1.09561978,0.089839337,0.530141071,94995,5920,13419,29.58647475
PD067,14,WT_p5_d35,DAN2017_4,H3,p5,d35,H,WT,17711899,58465998,54886467,5520651,7081610,3.300944636,0.399822176,1029615,8.21724922,0.8265164,0.475736167,243274,17075,36217,49.05395936
PD068,15,WT_p4_d35,DAN2017_4,H3,p4,d35,H,WT,14538109,39693676,35895190,8479897,10097669,2.730319053,0.694565504,166069,2.773172887,0.6551357,0.48588293,383276,28157,58221,71.05069802
PD069,16,WT_p4_d35,DAN2017_4,H3,p4,d35,H,WT,24686297,69694064,60330124,9204400,11690450,2.823188265,0.473560291,1544049,5.728809194,0.874028559,0.497930619,450199,33202,69282,61.58382477
PD070,1,BillWT_p10_d70,DAN2017_5,H3,p10,d70,H,WT,1382396,19291863,25382376,475025,562414,13.95538109,0.406840008,489,3.583219398,0.06705908,0.618803942,22747,1493,3561,32.97709924
PD071,2,BillWT_p10_d70,DAN2017_5,H3,p10,d70,H,WT,3802759,36560136,46528939,924366,1117131,9.614108073,0.293768551,0,2.614449181,0.051939889,0.597399052,40956,2544,6120,30.3121853
PD072,3,BillWT_p10_d70,DAN2017_5,H3,p10,d70,H,WT,4463499,37615629,44842628,1003999,1240991,8.427386004,0.27803098,0,2.39606709,0.053646476,0.610159139,49785,3247,7719,33.82631779
PD073,4,BillWT_p9_d70,DAN2017_5,H3,p9,d70,H,WT,3383356,29643762,30366215,5076548,5463395,8.761644355,1.614785733,0,2.368783684,0.396007341,0.528504529,213329,15768,33398,79.7187669
PD074,5,BillWT_p9_d70,DAN2017_5,H3,p9,d70,H,WT,6891059,34322354,36654228,4830191,5308582,4.98070819,0.770357938,33,2.077522496,0.273770067,0.505764816,181611,12535,26998,58.97900072
PD075,6,BillWT_p8_d70,DAN2017_5,H3,p8,d70,H,WT,18121502,54657439,48439711,8811835,10177760,3.01616494,0.561639979,168609,2.753417435,0.500883668,0.457569151,316068,22042,46260,74.24368582
PD076,7,BillWT_p8_d70,DAN2017_5,H3,p8,d70,H,WT,6224940,25820268,24008810,3969748,4671965,4.147874196,0.7505237,525,2.580044724,0.42659871,0.492644744,162763,11821,25365,77.79690189
PD077,8,BillWT_p8_d70,DAN2017_5,H3,p8,d70,H,WT,7511922,31916526,29076891,6534016,7318163,4.248782935,0.974206468,13008,2.151882377,0.483560429,0.501016717,265192,19493,40374,81.9740987
PD078,9,BillWT_p7_d70,DAN2017_5,H3,p7,d70,H,WT,19970146,63220151,57687595,10322231,12122384,3.16573304,0.607025307,963680,3.425712562,0.612974009,0.481256492,441499,32094,66286,83.32364904
PD079,10,BillWT_p7_d70,DAN2017_5,H3,p7,d70,H,WT,8917811,32848266,37404050,9258394,10464084,3.683444962,1.173391542,11,1.734067293,0.429222991,0.475014822,371766,28339,58691,74.5408805
PD080,11,BillWT_p7_d70,DAN2017_5,H3,p7,d70,H,WT,5871986,34157999,32723260,8008204,8861628,5.817111791,1.509136432,0,2.05861317,0.503794372,0.485049248,331962,25850,53182,81.54340836
PD081,12,BillWT_p10_d35,DAN2017_5,H3,p10,d35,H,WT,20420603,42970899,48064146,6372386,8013841,2.104291386,0.392438999,520427,3.073602202,0.407500835,0.500255121,298923,20313,42679,60.1848682
PD082,13,BillWT_p10_d35,DAN2017_5,H3,p10,d35,H,WT,16893727,27030339,36835667,5687979,7036369,1.600022245,0.416507796,117493,1.831949992,0.282880532,0.496932438,241828,16010,33983,59.68705548
PD083,14,BillWT_p9_d35,DAN2017_5,H3,p9,d35,H,WT,17287820,53626760,49313072,9485206,11859112,3.101996666,0.685980766,393431,4.692130092,0.902515676,0.479064031,439135,32357,66538,85.13104839
PD084,15,BillWT_p9_d35,DAN2017_5,H3,p9,d35,H,WT,18315204,37220194,38813584,8729973,11025903,2.032201989,0.6020082,387357,3.599861806,0.809682929,0.459450351,368389,26218,53921,74.38271605
PD085,16,BillWT_p9_d35,DAN2017_5,H3,p9,d35,H,WT,14712776,41287319,37135708,6184406,7468701,2.806222225,0.507633706,357968,2.805426476,0.467202519,0.483431724,245957,16828,35427,76.13908873
PD086,17,BillWT_p8_d35,DAN2017_5,H3,p8,d35,H,WT,26268779,65490731,62371773,11334835,14564056,2.493101449,0.554424551,1189762,4.161520937,0.756274047,0.500236061,593405,43171,89539,69.76135992
PD087,18,BillWT_p8_d35,DAN2017_5,H3,p8,d35,H,WT,15503616,33157559,31891471,4481893,5783132,2.138698417,0.373018269,600207,3.226081213,0.453379865,0.497243535,216008,15220,32039,57.33600401
PD088,19,BillWT_p8_d35,DAN2017_5,H3,p8,d35,H,WT,9384866,33145378,32187656,8806734,10572834,3.531790225,1.126583374,4968,1.987402568,0.543765156,0.466906791,370859,26878,55036,81.85391418
PD089,20,BillWT_p7_d35,DAN2017_5,H3,p7,d35,H,WT,19630015,51630507,48892233,4807800,6493615,2.63018174,0.330800308,3567874,9.195326791,0.904219125,0.481466949,243551,16900,35673,56.07394366
PD090,21,BillWT_p7_d35,DAN2017_5,H3,p7,d35,H,WT,11140780,31482393,27405562,4130337,5125136,2.825869733,0.460033858,429540,2.851949646,0.429821988,0.517845965,204725,14461,30165,73.44809598
PD091,22,BillWT_p7_d35,DAN2017_5,H3,p7,d35,H,WT,11901270,35336270,28544114,4024676,5517538,2.969117582,0.463609178,1719069,5.153624856,0.726653147,0.477477092,207489,14159,29999,75.02206531
PD098,7,WT_p5_d70,DAN2017_6,H3,p5,d70,H,WT,8439386,31014536,31045082,4622435,5359452,3.674975407,0.63505236,54629,3.106636868,0.462560446,0.502370765,201078,14611,30255,76.43343052
