ID,LabelIdx,AreaName,Experiment,ObjectSlide,Cellline,Replicate,Staining,Condition,Section,NucMaskSum,Tuj1MaskSum,MAP2MaskSum,THMaskSum,Tuj1ByNuc,MAP2ByNuc,THByNuc,NucMaskHigh,NucMaskAlive,THFragmentation,SkelTH,Nodes,Links,THPercent,THByTuj1,THByMap2,THByNucAlive,Tuj1ByNucAlive,MAP2ByNucAlive,NucAliveByNuc,NucDeadByNuc
14_43,7,hMO3_TOX14_Rep2_Border_CTRL_Idx_7,TOX14,1901192,hMO3,2,190119,CTRL,Border,23770598,34410301,21312590,18879623,1.447599299,0.896594608,0.794242661,14394014,9376584,0.343202351,838455,39804,83122,69.3877551,0.548661954,0.885843673,2.013486255,3.669812055,2.272958894,0.394461427,0.605538573
16_33,7,hMO3_TOX16_Rep1_Center_6OHDA_Idx_7,TOX16,18112323,hMO3,1,181123,6OHDA,Center,22440239,17945110,18595115,4514055,0.799684442,0.828650488,0.201158954,16909662,5530577,0.447262827,274729,14974,33948,14.77111845,0.251547915,0.242754885,0.816199648,3.244708464,3.362237792,0.246458026,0.753541974
12_8,8,hMO1_TOX12_Rep2_Center_6OHDA_Idx_8,TOX12,1811231,hMO1,2,181123,6OHDA,Center,15556539,12830836,3161026,5545537,0.824787313,0.203195968,0.35647627,87864,15468675,0.507579699,286007,17128,36794,29.10222936,0.432203872,1.754347164,0.3585011,0.829472208,0.204350146,0.994351957,0.005648043
16_49,8,hMO1_TOX16_Rep2_Border_CTRL_Idx_8,TOX16,19011921,hMO1,2,190119,CTRL,Border,4876953,23468409,20277808,4790988,4.812104812,4.157884646,0.982373215,89190,4787763,0.381343264,179469,7556,17246,38.5021097,0.204146263,0.236267549,1.000673592,4.901748269,4.235340805,0.981711942,0.018288058
12_32,8,hMO2_TOX12_Rep2_Border_6OHDA_Idx_8,TOX12,1811233,hMO2,2,181123,6OHDA,Border,26586738,41721374,18696232,6529027,1.569255093,0.703216468,0.245574579,9972642,16614096,0.472937392,330706,18955,41869,17.99888206,0.156491179,0.349216195,0.392981177,2.511203378,1.12532346,0.624901633,0.375098367
14_8,8,hMO2_TOX14_Rep1_Border_6OHDA_Idx_8,TOX14,1807021,hMO2,1,180702,6OHDA,Border,13500391,32884401,10010552,3714703,2.435811007,0.741500894,0.275155216,6456284,7044107,0.482219171,167683,10692,23114,41.11182935,0.112962465,0.371078738,0.527349031,4.668356259,1.421124353,0.521770592,0.478229408
14_36,8,hMO2_TOX14_Rep2_Center_CTRL_Idx_8,TOX14,1901191,hMO2,2,190119,CTRL,Center,42839383,55497086,42892484,26263365,1.295468845,1.001239537,0.613065902,23027122,19812261,0.35181421,865120,50539,102854,49.87531172,0.473238631,0.612306925,1.325611701,2.801148541,2.164946444,0.462477739,0.537522261
12_44,8,hMO3_TOX12_Rep1_Center_CTRL_Idx_8,TOX12,1811234,hMO3,1,181123,CTRL,Center,23031357,22377587,13284718,3598256,0.971613917,0.576810042,0.156232913,4301294,18730063,0.418468558,145291,8847,21138,15.8527423,0.160797319,0.270856784,0.19211126,1.194741683,0.709272467,0.813241834,0.186758166
14_44,8,hMO3_TOX14_Rep2_Center_CTRL_Idx_8,TOX14,1901192,hMO3,2,190119,CTRL,Center,32121805,28201187,19129485,18132957,0.877945277,0.595529579,0.564506166,21564437,10557368,0.356657935,774293,40854,85403,71.16704805,0.642985595,0.947906177,1.717564169,2.671232735,1.811955878,0.328666711,0.671333289
14_9,9,hMO1_TOX14_Rep1_Border_6OHDA_Idx_9,TOX14,1807021,hMO1,1,180702,6OHDA,Border,1085950,16270512,7380884,1914445,14.98274506,6.796707031,1.762921866,217548,868402,0.497959983,74688,4117,8582,51.78041543,0.117663476,0.259378822,2.204560791,18.73615215,8.499386229,0.799670335,0.200329665
